road,place,latitude,longitude,clusterid
Randolph Place,Edinburgh,55.9514199,-3.2098538,1104
Melville Street,Edinburgh,55.9508713,-3.2115215,1105
Melville Crescent,Edinburgh,55.9496571,-3.2135157,1106
Melville Street,Edinburgh,55.9496008,-3.2143217,1107
Atholl Crescent,Edinburgh,55.9481733,-3.2116918,1108
William Street,Edinburgh,55.9495558,-3.2119466,1109
Alva Street,Edinburgh,55.9501174,-3.210922,1110
Alva Street,Edinburgh,55.950589,-3.2100959,1111
Drumsheugh Gardens,Edinburgh,55.9510711,-3.21413,1112
Drumsheugh Gardens,Edinburgh,55.9510951,-3.2159244,1113
Rothesay Terrace,Edinburgh,55.9501775,-3.2186106,1114
Belford Road,Edinburgh,55.9520044,-3.2158077,1115
Douglas Crescent,Edinburgh,55.9486772,-3.2237577,1116
Magdala Crescent,Edinburgh,55.9485728,-3.2238449,1117
Eglinton Crescent,Edinburgh,55.9490617,-3.219599,1118
Eglinton Crescent,Edinburgh,55.9480599,-3.2214765,1119
Coates Gardens,Edinburgh,55.946537,-3.2214832,1120
Rosebery Crescent,Edinburgh,55.9463695,-3.2191376,1121
Grosvenor Street,Edinburgh,55.9467487,-3.21724,1122
Lansdowne Crescent,Edinburgh,55.9479882,-3.2173365,1123
Palmerston Place,Edinburgh,55.9478166,-3.2163629,1124
Grove Street,Edinburgh,55.9459429,-3.212876,1125
Upper Grove Place,Edinburgh,55.9441601,-3.2122725,1126
Gardner's Crescent,Edinburgh,55.9456636,-3.2107088,1127
Rutland Street,Edinburgh,55.9490474,-3.2086784,1128
Gillespie Crescent,Edinburgh,55.9405347,-3.2041629,1129
Blenheim Place,Edinburgh,55.9570818,-3.1816518,1130
Royal Terrace,Edinburgh,55.9569497,-3.1778504,1131
Drummond Place,Edinburgh,55.9582609,-3.1962758,1132
George Street,Edinburgh,55.9539086,-3.1949763,1133
George Street,Edinburgh,55.9538395,-3.1953719,1134
George Street,Edinburgh,55.9537381,-3.1959862,1135
George Street,Edinburgh,55.9536323,-3.1966165,1136
George Street,Edinburgh,55.9533972,-3.1979777,1137
George Street,Edinburgh,55.9532133,-3.1990546,1138
George Street,Edinburgh,55.9520495,-3.2059371,1139
George Street,Edinburgh,55.9521411,-3.2054088,1140
George Street,Edinburgh,55.9522312,-3.2048535,1141
George Street,Edinburgh,55.952319,-3.2043359,1142
George Street,Edinburgh,55.9526854,-3.2021593,1143
George Street,Edinburgh,55.9527793,-3.2016201,1144
George Street,Edinburgh,55.9528664,-3.2010877,1145
George Street,Edinburgh,55.9531104,-3.1996836,1146
St John Street,Edinburgh,55.9508297,-3.1813017,1147
Bellevue Crescent,Edinburgh,55.9603017,-3.1930766,1148
Queen Street,Edinburgh,55.9547183,-3.1990056,1149
Albany Street,Edinburgh,55.9569662,-3.1929231,1150
Barony Street,Edinburgh,55.9581652,-3.1901718,1151
Bruntsfield Terrace,Edinburgh,55.936726,-3.206038,1152
Victoria Circus,Glasgow,55.878315,-4.301165,1153
Observatory Road,Glasgow,55.877434,-4.293691,1154
Roxburgh Street,Glasgow,55.876361,-4.293103,1155
Dowanside Rd,Glasgow,55.875077,-4.2955,1156
Dowanhill St,Glasgow,55.87551,-4.298896,1157
Havelock St,Glasgow,55.873915,-4.300219,1158
