road,place,latitude,longitude,clusterid
Spring Street,Brighton & Hove,50.824525,-0.149692,1477
Clarence Square,Brighton & Hove,50.823733,-0.147585,1478
Clarence Square,Brighton & Hove,50.823665,-0.147126,1479
Regent Hill,Brighton & Hove,50.824684,-0.146382,1480
Tichborne Street,Brighton & Hove,50.824868,-0.14021,1481
King Place,Brighton & Hove,50.823645,-0.141168,1482
Middle Street,Brighton & Hove,50.820758,-0.143333,1483
Bartholomews,Brighton & Hove,50.820862,-0.139433,1484
Old Steine,Brighton & Hove,50.820773,-0.138321,1485
Palace Street,Brighton & Hove,50.82188,-0.137696,1486
Church Street,Brighton & Hove,50.8238,-0.137771,1487
Rose Hill Terrace,Brighton & Hove,50.832906,-0.136901,1488
Baker Street,Brighton & Hove,50.831616,-0.136347,1489
Richmond Terrace,Brighton & Hove,50.830065,-0.132704,1490
Pelham Street,Brighton & Hove,50.828837,-0.136753,1491
Blackman Street,Brighton & Hove,50.828972,-0.138653,1492
Kensington Place,Brighton & Hove,50.828171,-0.138688,1493
Gloucester Street,Brighton & Hove,50.826918,-0.135762,1494
Gloucester Place,Brighton & Hove,50.826218,-0.135732,1495
Tidy Street,Brighton & Hove,50.827038,-0.138632,1496
Over Street,Brighton & Hove,50.827311,-0.140669,1497
Marlborough Place,Brighton & Hove,50.825137,-0.136599,1498
Robert Street,Brighton & Hove,50.82591,-0.137953,1499
Queen's Gardens,Brighton & Hove,50.825943,-0.139957,1500
Frederick Street,Brighton & Hove,50.826163,-0.141538,1501
North Gardens,Brighton & Hove,50.826316,-0.142877,1502
St Nicholas Road,Brighton & Hove,50.825765,-0.145267,1503
Clifton Terrace,Brighton & Hove,50.826078,-0.146479,1504
St Michael's Place,Brighton & Hove,50.827489,-0.150128,1505
Powis Road,Brighton & Hove,50.827519,-0.149402,1506
Clifton Hill,Brighton & Hove,50.827861,-0.147748,1507
Leopold Road,Brighton & Hove,50.827211,-0.14594,1508
Alfred Road,Brighton & Hove,50.828162,-0.145225,1509
Albert Road,Brighton & Hove,50.828579,-0.144215,1510
Guildford Street,Brighton & Hove,50.828702,-0.142594,1511
Terminus Street,Brighton & Hove,50.829188,-0.141852,1512
Clifton Street,Brighton & Hove,50.829178,-0.143032,1513
W Hill Road,Brighton & Hove,50.829178,-0.14504,1514
Compton Avenue,Brighton & Hove,50.829441,-0.146727,1515
Montpelier Crescent,Brighton & Hove,50.829285,-0.149438,1516
Vernon Terrace,Brighton & Hove,50.83037,-0.148193,1517
Montpelier Crescent,Brighton & Hove,50.830287,-0.148025,1518
Bath Street,Brighton & Hove,50.830973,-0.145769,1519
Buckingham Road,Brighton & Hove,50.830685,-0.143431,1520
Royal Crescent Mews,Brighton & Hove,50.81814,-0.124682,1521
Wyndham Street,Brighton & Hove,50.818854,-0.128619,1522
Burlington Street,Brighton & Hove,50.81805,-0.124351,1523
Charlotte Street,Brighton & Hove,50.819516,-0.127879,1524
Grafton Street,Brighton & Hove,50.819677,-0.128731,1525
St James' Avenue,Brighton & Hove,50.820428,-0.130771,1526
Chapel Street,Brighton & Hove,50.820646,-0.132031,1527
Madeira Place,Brighton & Hove,50.82068,-0.13403,1528
Broad Street,Brighton & Hove,50.820717,-0.134629,1529
Old Steine,Brighton & Hove,50.821498,-0.136405,1530
Dorset Gardens,Brighton & Hove,50.822287,-0.133343,1531
Dorset Gardens,Brighton & Hove,50.821512,-0.133733,1532
George Street,Brighton & Hove,50.822423,-0.13411,1533
William Street,Brighton & Hove,50.823128,-0.134869,1534
Kingswood Street,Brighton & Hove,50.824425,-0.135419,1535
Morley Street,Brighton & Hove,50.8256,-0.134542,1536
Ivory Place,Brighton & Hove,50.825923,-0.133971,1537
White Street,Brighton & Hove,50.822439,-0.132095,1538
John Street,Brighton & Hove,50.823065,-0.133939,1539
Blaker Street,Brighton & Hove,50.822701,-0.131262,1540
Devonshire Place,Brighton & Hove,50.821865,-0.130858,1541
St James' Avenue,Brighton & Hove,50.821792,-0.130063,1542
Upper Rock Gardens,Brighton & Hove,50.821533,-0.129493,1543
Mount Pleasant,Brighton & Hove,50.822146,-0.130043,1544
Egremont Place,Brighton & Hove,50.822897,-0.128777,1545
Lavender Street,Brighton & Hove,50.820896,-0.128319,1546
Hereford Street,Brighton & Hove,50.821019,-0.127596,1547
Somerset Street,Brighton & Hove,50.820643,-0.125565,1548
Sutherland Road,Brighton & Hove,50.820843,-0.123442,1549
Freshfield Way,Brighton & Hove,50.821736,-0.1246,1550
Lennox Street,Brighton & Hove,50.823926,-0.130161,1551
Tillstone Street,Brighton & Hove,50.823195,-0.127439,1552
Park Street,Brighton & Hove,50.822939,-0.126921,1553
Freshfield Place,Brighton & Hove,50.822775,-0.124817,1554
South Avenue,Brighton & Hove,50.823606,-0.126418,1555
East Dr,Brighton & Hove,50.823783,-0.124736,1556
Sutherland Road,Brighton & Hove,50.823623,-0.120749,1557
Evelyn Terrace,Brighton & Hove,50.824383,-0.122269,1558
East Dr,Brighton & Hove,50.824667,-0.123653,1559
West Dr,Brighton & Hove,50.825196,-0.126669,1560
West Dr,Brighton & Hove,50.826154,-0.125175,1561
Tower Road,Brighton & Hove,50.82644,-0.124668,1562
East Dr,Brighton & Hove,50.825823,-0.123044,1563
Queen's Park Terrace,Brighton & Hove,50.825425,-0.121866,1564
Bloomsbury Place,Brighton & Hove,50.818527,-0.12295,1565
Marine Square,Brighton & Hove,50.817828,-0.121666,1566
Portland Place,Brighton & Hove,50.817421,-0.120936,1567
College Road,Brighton & Hove,50.820235,-0.12259,1568
Walpole Road,Brighton & Hove,50.820618,-0.121059,1569
Walpole Terrace,Brighton & Hove,50.821359,-0.120114,1570
Walpole Terrace,Brighton & Hove,50.822735,-0.119002,1571
Slinfold Close,Brighton & Hove,50.821517,-0.11536,1572
Turton Close,Brighton & Hove,50.820594,-0.116918,1573
Walpole Road,Brighton & Hove,50.820792,-0.118579,1574
Abbey Road,Brighton & Hove,50.818314,-0.119862,1575
Paston Place,Brighton & Hove,50.817882,-0.119094,1576
Belgrave Place,Brighton & Hove,50.816726,-0.117635,1577
Eaton Place,Brighton & Hove,50.816674,-0.116729,1578
Eaton Place,Brighton & Hove,50.817665,-0.116228,1579
Rock Street,Brighton & Hove,50.816665,-0.112326,1580
Chesham Place,Brighton & Hove,50.817232,-0.115321,1581
Bowring Way,Brighton & Hove,50.819911,-0.113845,1582
Manor Road,Brighton & Hove,50.818655,-0.111115,1583
Sussex Square,Brighton & Hove,50.817732,-0.110677,1584
Sussex Square,Brighton & Hove,50.81753,-0.109648,1585
St Mark's Street,Brighton & Hove,50.817461,-0.112858,1586
Lewes Crescent,Brighton & Hove,50.816029,-0.110433,1587
Chichester Street,Brighton & Hove,50.816314,-0.114843,1588
Market Place Car Park,Burgess Hill,50.954754,-0.131645,1589
Cyprus Road Car Park,Burgess Hill,50.956642,-0.131001,1590
Brunel Street,Birmingham,52.477919,-1.902779,1591
Caroline Street,Birmingham,52.487345,-1.908726,1592
Cornwall Street,Birmingham,52.482398,-1.902022,1593
Edgbaston Street,Birmingham,52.4765,-1.895957,1594
Fleet Street,Birmingham,52.483087,-1.905538,1595
Holliday Street,Birmingham,52.477194,-1.906805,1596
Hylton Street,Birmingham,52.4904,-1.912764,1597
Lionel Street,Birmingham,52.484101,-1.903169,1598
Margaret Street,Birmingham,52.480949,-1.903245,1599
Newhall Street,Birmingham,52.481601,-1.902166,1600
Smallbrook Queensway,Birmingham,52.475992,-1.897339,1601
St. Martin's Street,Birmingham,52.473549,-1.91633,1602
St. Paul's Square,Birmingham,52.485829,-1.905479,1603
Steelhouse Lane,Birmingham,52.484763,-1.892952,1604
Temple Row,Birmingham,52.480574,-1.898455,1605
Temple Row West,Birmingham,52.480684,-1.899543,1606
Waterloo Street,Birmingham,52.480175,-1.900688,1607
Whitall Street,Birmingham,52.484934,-1.896544,1608
Mailbox Q-Park,Birmingham,52.476949,-1.9035775,1609
Bullring Car Park,Birmingham,52.4772298,-1.8925895,1610
Lower Road Car Park,Forest Row,51.097319,0.035212,1611
Ludlow Castle Street Car Park,Ludlow,52.3684424,-2.7209814,1612
Mill Street,Ludlow,52.3668142,-2.7209079,1613
Bridge Place Car Park,Huntingdon,52.3260091,-0.1756381,1614
Brunswick Street,Liverpool,53.405021,-2.994726,1615
Castle Hill,Liverpool,53.405439,-2.99094,1616
Exchange Passage West,Liverpool,53.407288,-2.992634,1617
Cropper Street,Liverpool,53.403623,-2.977555,1618
Old Churchyard,Liverpool,53.406923,-2.994165,1619
Jamaica Street,Liverpool,53.395622,-2.980502,1620
Saracen Street,Bath,51.384514,-2.359925,1621
Dean Street,Bristol,51.461436,-2.585278,1622
St. Paul Street,Bristol,51.460883,-2.584853,1623
Whitson Street,Bristol,51.459439,-2.594595,1624
Lower Maudlin Street,Bristol,51.458444,-2.593947,1625
Callowhill Court,Bristol,51.458446,-2.588669,1626
Unity Street Car Park,Bristol,51.453937,-2.580781,1627
Temple Meads Station Car Park,Bristol,51.449166,-2.581837,1628
All Saints' Street,Bristol,51.456429,-2.593049,1629
Temple Back,Bristol,51.452419,-2.585302,1630
Queen Charlotte Street,Bristol,51.4533,-2.593457,1631
St Stephen's Street,Bristol,51.453579,-2.594766,1632
Lower Park Row,Bristol,51.456204,-2.597741,1633
Telephone Avenue,Bristol,51.452916,-2.595972,1634
Queen Square,Bristol,51.450968,-2.593479,1635
Frogmore Street,Bristol,51.45415,-2.599931,1636
Elmdale Road,Bristol,51.457964,-2.607058,1637
University Road,Bristol,51.456374,-2.605957,1638
Berkeley Square,Bristol,51.455025,-2.606363,1639
Berkeley Square,Bristol,51.454799,-2.605653,1640
Berkeley Square,Bristol,51.455256,-2.605027,1641
Berkeley Square,Bristol,51.455522,-2.606263,1642
Park Street Avenue,Bristol,51.455226,-2.603519,1643
Charlotte Street,Bristol,51.45506,-2.603677,1644
Great George Street,Bristol,51.454288,-2.602781,1645
Charlotte Street South,Bristol,51.453533,-2.60466,1646
Queen's Parade,Bristol,51.452355,-2.604454,1647
St. George's Road,Bristol,51.450979,-2.605772,1648
College Square,Bristol,51.451435,-2.601841,1649
York Street,Bristol,51.460289,-2.588266,1650
York Street,Bristol,51.459967,-2.58814,1651
Lower Castle Street,Bristol,51.456345,-2.585556,1652
Bridge Street,Bristol,51.454177,-2.591548,1653
Redcliff Street,Bristol,51.452702,-2.591025,1654
Marsh Street,Bristol,51.453672,-2.596008,1655
Queen Square,Bristol,51.450511,-2.595735,1656
Queen Square,Bristol,51.449989,-2.595663,1657
Queen Square,Bristol,51.449958,-2.595204,1658
Queen Square,Bristol,51.44986,-2.593952,1659
Queen Square,Bristol,51.450503,-2.593627,1660
Lower Guinea Street Car Park,Bristol,51.446563,-2.59427,1661
Maritime Heritage Centre Car Park,Bristol,51.448124,-2.607573,1662
Frog Lane Car Park,Bristol,51.453024,-2.602025,1663
Unity Street ,Bristol,51.453319,-2.600695,1664
Unity Street ,Bristol,51.453565,-2.600178,1665
Great George Street,Bristol,51.452905,-2.605533,1666
Great George Street,Bristol,51.45314,-2.605107,1667
Charlotte Street South,Bristol,51.454133,-2.60545,1668
Woodland Road,Bristol,51.455577,-2.602033,1669
Elmdale Road,Bristol,51.456959,-2.605689,1670
Hasset Street,Bedford,52.138046,-0.47219,1671
St. Paul's Square,Bedford,52.134943,-0.466513,1672
Bedford Railway Station Car Park,Bedford,52.136602,-0.479497,1673
Peterborough Station Car Park,Peterborough,52.5740161,-0.2488409,1674
Churchill Way,Cardiff,51.48158,-3.172419,1675
Charles Street,Cardiff,51.481419,-3.173991,1676
Windsor Place,Cardiff,51.483181,-3.17295,1677
Mary Ann Street,Cardiff,51.479206,-3.173298,1678
Guildhall Place,Cardiff,51.479308,-3.179711,1679
Portland Bill Road,Dorset,50.515027,-2.45621,1680
Portland Bill Road,Dorset,50.516157,-2.456824,1681
North Quay,Dorset,50.606978,-2.456263,1682
May Street,Belfast,54.596395,-5.921837,1683
Linenhall Street,Belfast,54.595628,-5.929904,1684
Bankmore Square,Belfast,54.592677,-5.931235,1685
Station Street Car Park,Belfast,54.600469,-5.918315,1686
Brunswick Street,Belfast,54.595374,-5.933126,1687
College Square East,Belfast,54.596615,-5.93455,1688
Oxpens Car Park,Oxford,51.749236,-1.265961,1689
Union Terrace,Aberdeen,57.146159,-2.103277,1690
Golden Square,Aberdeen,57.145816,-2.104489,1691
Bon-Accord Street,Aberdeen,57.143581,-2.105879,1692
Justice Street,Aberdeen,57.148632,-2.091757,1693
Queen Street,Aberdeen,57.14901,-2.095362,1694
Charlotte Street,Aberdeen,57.149954,-2.103317,1695
Loch Street,Aberdeen,57.151044,-2.100736,1696
Rose Street,Aberdeen,57.143868,-2.111153,1697
Rubislaw Place,Aberdeen,57.143142,-2.115204,1698
Schoolhill,Aberdeen,57.14805,-2.101652,1699
Gallowgate Car Park,Aberdeen,57.150921,-2.098461,1700
Crown Street,Aberdeen,57.143249,-2.102187,1701
Union Square,Aberdeen,57.14299,-2.095438,1702
Market Street Car Park,Wrexham,53.045828,-2.990129,1703
Waterworld Car Park,Wrexham,53.048491,-2.991529,1704
"Deganwy Station Road Car Park
",Conwy,53.294723,-3.83343,1705
Bala,Bala Lake,52.906279,-3.605967,1706
East Topping St Car Park,Blackpool,53.819751,-3.049637,1707
Gynn Square Car Park,Blackpool,53.833227,-3.054041,1708
Car Park,Blackpool,53.79297,-3.057069,1709
B&M Car Park,Mold,53.168558,-3.136086,1710
South Parade,Llandudno,53.325753,-3.829682,1711
Marine Terrace,Aberystwyth,52.417903,-4.084424,1712
High Street,Isle of Wight,50.699438,-1.297213,1713
Chapel Street Car Park,Isle of Wight,50.697891,-1.296978,1714
Sea Street Car Park,Isle of Wight,50.701813,-1.293066,1715
Pier Street,Isle of Wight,50.706652,-1.499499,1716
Chesterton Road,Cambridge,52.213597,0.12247,1717
King Street,Cambridge,52.207271,0.121478,1718
King Street,Cambridge,52.207378,0.124271,1719
Fitzroy Lane,Cambridge,52.207064,0.13133,1720
King Street,Cambridge,52.207339,0.12233,1721
Free School Lane,Cambridge,52.203647,0.118593,1722
Botolph Lane,Cambridge,52.202443,0.118878,1723
Silver Street,Cambridge,52.200833,0.11347,1724
Trumpington Street,Cambridge,52.200136,0.120313,1725
Park Terrace,Cambridge,52.203009,0.126363,1726
Regent Street,Cambridge,52.200539,0.126257,1727
Lensfield Road,Cambridge,52.198607,0.126277,1728
Cambridge Station Car Park,Cambridge,52.195919,0.138502,1729
Coasack Lane Car Park,Winchester,51.063689,-1.310223,1730
Wide Bargate,Boston,52.980139,-0.02152,1731
Butcher Row Car Park,Beverley,53.842097,-0.427619,1732
Saturday Market,Beverley,53.842645,-0.432105,1733
"The Quay, Wells-next-the-Sea",Norfolk,52.95711,0.853273,1734
Southend Car Park,Norfolk,52.938357,0.485971,1735
Piries Place Car Park,Horsham,51.062395,-0.325857,1736
Denne Road Car Park,Horsham,51.06094,-0.327417,1737
Medwin Way,Horsham,51.063982,-0.329892,1738
North Parade Car Park,Horsham,51.067167,-0.328669,1739
Pavilions Car Park,Horsham,51.066692,-0.323114,1740
Sainsbury's Car Park,Horsham,51.061007,-0.33125,1741
Devil's Dyke Car Park,West Sussex,50.885165,-0.212704,1742
Devil's Dyke Car Park,West Sussex,50.88525,-0.212365,1743
Grainger Town Car Park,Newcastle,54.9696,-1.6225,1744
Carliol Square,Newcastle,54.973408,-1.607646,1745
College Street,Newcastle,54.976597,-1.609494,1746
Fenkle Street,Newcastle,54.970222,-1.61749,1747
Higham Place,Newcastle,54.975167,-1.609084,1748
Hood Street,Newcastle,54.973495,-1.611779,1749
Kensington Terrace,Newcastle,54.981506,-1.614294,1750
Queen Street,Newcastle,54.969174,-1.607012,1751
Westgate Road,Newcastle,54.97118,-1.624975,1752
Westgate Road,Newcastle,54.971143,-1.625312,1753
Westgate Road,Newcastle,54.971254,-1.625553,1754
Westgate Road,Newcastle,54.971228,-1.625943,1755
Westgate Road,Newcastle,54.971312,-1.626008,1756
Westgate Road,Newcastle,54.971331,-1.626553,1757
Westgate Road,Newcastle,54.971377,-1.627023,1758
Westgate Road,Newcastle,54.970999,-1.624228,1759
Quayside Multistorey Car Park,Newcastle,54.971283,-1.605266,1760
Castle Hill Car Park,Lincoln,53.234389,-0.539556,1761
Cross Hill Car Park,Driffield,54.005183,-0.440472,1762
Claypath,Durham,54.77766,-1.574495,1763
Hardwick Park,Durham,54.652982,-1.46818,1764
North Bar Car Park East,Banbury,52.062987,-1.339481,1765
John Street Car Park,Market Rasen,53.386981,-0.336689,1766
Co-op Car Park,Market Rasen,53.387044,-0.338601,1767
Tesco Car Park,Market Rasen,53.384,-0.336461,1768
Highcross Car Park ,Leicester,52.636789,-1.136476,1769
Bowling Green Street,Leicester,52.633468,-1.133193,1770
Rutland Street,Leicester,52.633936,-1.129498,1771
"Kent Street
",Nottingham,52.95649,-1.144219,1772
Wollaton Street,Nottingham,52.955225,-1.154379,1773
Mount Street,Nottingham,52.952741,-1.15449,1774
Hounds Gate,Nottingham,52.951318,-1.15165,1775
Castle Road,Nottingham,52.950277,-1.152878,1776
Lace Market Car Park,Nottingham,52.952186,-1.144966,1777
Trinity Square Car Park,Nottingham,52.956692,-1.149632,1778
Cumberland Street,York,53.956964,-1.082057,1779
Dennis Street,York,53.956581,-1.076966,1780
Piccadilly,York,53.956643,-1.077459,1781
Tanner's Moat,York,53.95932,-1.088249,1782
Bootham Row Car Park,York,53.963856,-1.085252,1783
Esplanade Car Park,York,53.960331,-1.08994,1784
Foss Bank Car Park,York,53.961918,-1.075944,1785
Monk Bar Car Park,York,53.96397,-1.078972,1786
"Nunnery Lane Car Park
",York,53.955064,-1.089779,1787
Union Terrace Car Park,York,53.965982,-1.083726,1788
Middle Street Car Park,Kent,51.223913,1.403983,1789
St Margarets Bay Car Park,Kent,51.150394,1.384866,1790
Albany Place Car Park,Dover,51.123804,1.310908,1791
Pencester Road Car Park,Dover,51.128409,1.313319,1792
William Street,Herne Bay,51.370987,1.128541,1793
Guildhall Car Park,Sandwich,51.27433,1.338337,1794
The Quay Carpark,Sandwich,51.275355,1.343914,1795
Longport Car Park,Canterbury,51.27705,1.088125,1796
Stanhope Road Car Park,Deal,51.224776,1.401439,1797
Sandgate High Street,Folkestone,51.07362,1.144848,1798
Castle Row Car Park,Canterbury,51.275598,1.075282,1799
Canterbury Lane,Canterbury,51.277868,1.083133,1800
Marlowe Avenue,Canterbury,51.276459,1.07887,1801
Queningate Car Park,Canterbury,51.278315,1.084817,1802
Town Hall Car Park,Letchworth Garden City,51.977587,-0.228994,1803
Hitchin Station Car Park,Hitchin,51.953516,-0.264023,1804
Pound Lane Car Park,Marlow,51.568829,-0.776704,1805
Easton Street,High Wycombe,51.628271,-0.747823,1806
Paul's Row,High Wycombe,51.628844,-0.751395,1807
Exchange Road,Watford,51.654514,-0.39793,1808
Cottis Lane Car Park,Epping,51.700313,0.110507,1809
E Gate,Harlow,51.771037,0.09506,1810
Station Approach,Hitchin,51.95349,-0.264038,1811
Longsmith Street,Gloucester,51.864853,-2.247859,1812
Hare Lane,Gloucester,51.867524,-2.24401,1813
Crescent Place ,Cheltenham,51.900794,-2.077737,1814
Regent Street,Cheltenham,51.898704,-2.076447,1815
Monmouth Beach Car Park,Lyme Regis,50.72003,-2.940126,1816
Madeira Road,Plymouth,50.363394,-4.134696,1817
Parade,Plymouth,50.368009,-4.136498,1818
Armada Way,Plymouth,50.369734,-4.142072,1819
Guildhall Square,Plymouth,50.369982,-4.141661,1820
Hoe Road,Plymouth,50.364361,-4.144909,1821
Lockyer Street,Plymouth,50.368759,-4.143936,1822
Princess Street,Plymouth,50.368882,-4.141224,1823
Wharf Road,Penzance,50.119599,-5.533129,1824
Porthmeor Car Park,St Ives,50.214675,-5.48451,1825
Park Avenue Car Park,St Ives,50.210003,-5.484578,1826
West Street,Exeter,50.719673,-3.534218,1827
Synagogue Place,Exeter,50.722506,-3.534183,1828
Marine Parade,Weston-super-Mare,51.345879,-2.980967,1829
Southside,Street,51.125608,-2.740714,1830
Brown Street,Salisbury,51.067989,-1.793077,1831
The Forum Car Park,Cirencester ,51.715793,-1.965788,1832
Brewery Car Park,Cirencester ,51.716021,-1.969493,1833
Royal Albert Drive,Scarborough,54.290318,-0.403373,1834
Royal Albert Drive,Scarborough,54.291973,-0.405959,1835
Sandside,Scarborough,54.284007,-0.388584,1836
Marine Drive,Scarborough,54.284485,-0.386182,1837
St Nicholas,Scarborough,54.280685,-0.398823,1838
W Pier Car Park,Scarborough,54.283167,-0.392099,1839
Castle Road Car Park,Scarborough,54.28526,-0.400923,1840
Coble Landing,Filey,54.21107,-0.283434,1841
Ravine Road,Filey,54.211434,-0.284217,1842
Cliff Street Car Park,Whitby,54.487509,-0.615112,1843
West Cliff Car Park,Whitby,54.489314,-0.620808,1844
Marina Front Car Park,Whitby,54.483189,-0.612416,1845
"Langbourne Road Car Park
",Whitby,54.483721,-0.611993,1846
St Peters Street,Norwich,52.628205,1.292448,1847
Bethel Street,Norwich,52.628085,1.291597,1848
Farmers Avenue,Norwich,52.627177,1.296118,1849
Theatre Street,Norwich,52.6276,1.289421,1850
Tombland ,Norwich,52.630572,1.299161,1851
Civic Close,St Albans,51.752898,-0.337327,1852
Civic Centre Car Park,St Albans,51.75345,-0.335445,1853
Drovers Way Car Park,St Albans,51.754402,-0.33877,1854
Russell Avenue,St Albans,51.753352,-0.339848,1855
St. Andrews Square,St Albans,55.9538,-3.19237,1856
St. Austin's Street,Shrewsbury,52.709106,-2.758281,1857
Frankwell Car Park,Shrewsbury,52.711155,-2.754988,1858
Mardol,Shrewsbury,52.708375,-2.755402,1859
South Church Side,Hull,53.741554,-0.334343,1860
Willerby Sq Car Park,Hull,53.756414,-0.446321,1861
Wilson Street,Hull,53.745695,-0.432247,1862
Cottingham Green Car Park,Hull,53.780941,-0.414274,1863
Marine Drive,Hornsea,53.915469,-0.16159,1864
Bond Street,Hull,53.74572884,-0.3395404158,1865
Grimstone Street,Hull,53.745995,-0.335853,1866
Guildhall Road,Hull,53.744502,-0.335776,1867
Jarratt Street,Hull,53.747074,-0.338357,1868
Union Street,Hull,53.74708278,-0.3400616838,1869
Wright Street,Hull,53.74775956,-0.3439962881,1870
Cliff Street,Bridlington,54.08209231,-0.1877683432,1871
North Street Car Park,Bridlington,54.08473,-0.191136,1872
East Riding Leisure,Bridlington,54.084853,-0.186633,1873
Langdales Wharf Car Park,Bridlington,54.081174,-0.192985,1874
Lighthouse Car Park,Bridlington,54.116523,-0.083515,1875
North Landing Car Park,Bridlington,54.128349,-0.106101,1876
Station Front Short Stay Car Park,Pocklington,53.929208,-0.780205,1877
Market Place,Malton,54.13583,-0.798406,1878
North Promenade,Cleethorpes,53.56267506,-0.02914604217,1879
Country Park,Hessle,53.71961323,-0.4530761436,1880
Riverside Car Park,Peterborough,52.5695978,-0.2394019,1881
Bishops Road Car Park,Peterborough,52.5706471,-0.2375529,1882
Greys Road Car Park,Henley-on-Thames,51.53664,-0.905712,1883
Greys Road Car Park,Henley-on-Thames,51.536886,-0.905647,1884
Wellington Way Car Park,Portsmouth,50.880704,-1.031299,1885
College Street,Swindon,51.56186,-1.783814,1886
Latimer Road,Merton,51.419833,-0.193035,1887
Boundary Road,Merton,51.421856,-0.179422,1888
Boundary Road,Merton,51.422818,-0.176872,1889
University Road,Merton,51.420785,-0.177495,1890
Warren Road,Merton,51.420054,-0.17232,1891
The Crescent,Merton,51.434633,-0.198583,1892
The Crescent,Merton,51.433618,-0.197409,1893
Crescent Gardens,Merton,51.434202,-0.19811,1894
Leopold Road,Merton,51.427214,-0.201172,1895
Kirkley Road,Merton,51.413281,-0.196757,1896
Hamilton Road,Merton,51.415801,-0.191076,1897
Hardy Road,Merton,51.415943,-0.190121,1898
High Street,Merton,51.425773,-0.22064,1899
Belvedere Grove,Merton,51.424439,-0.215526,1900
Worple Road,Merton,51.421013,-0.209713,1901
South Park Road,Merton,51.420796,-0.203488,1902
Hartfield Road car park,Merton,51.419028,-0.204108,1903
Dorset Road,Ealing,51.50171,-0.307129,1904
Hardwicke Road,Ealing,51.494687,-0.266421,1905
Locarno Road,Ealing,51.506884,-0.267798,1906
Mattock Lane,Ealing,51.511113,-0.305884,1907
New Broadway,Ealing,51.512671,-0.308292,1908
Norbreck Parade,Ealing,51.532431,-0.292294,1909
Warwick Road,Ealing,51.506347,-0.303904,1910
Edison Road,Bromley,51.405909,0.01187,1911
Churchill Way,Bromley,51.40266,0.014847,1912
Park Road,Bromley,51.406655,0.019078,1913
Ringers Road,Bromley,51.401801,0.015681,1914
Ravensbourne Road,Bromley,51.400915,0.016508,1915
Bloomfield Road,Bromley,51.393096,0.034912,1916
Walpole Road,Bromley,51.392431,0.03591,1917
Station Approach,Bromley,51.377535,0.010639,1918
Berwick Way,Bromley,51.375913,0.098363,1919
Walnuts Road,Bromley,51.375763,0.103715,1920
Burnt Ash Lane Car Park,Bromley,51.421012,0.019998,1921
Chelsfield Car Park,Bromley,51.357522,0.109062,1922
Chislehurst High Street Car Park,Bromley,51.419964,0.067019,1923
Coney Hall Car Park,Bromley,51.369626,0.003081,1924
Cotmandene Crescent Car Park,Bromley,51.40398,0.106278,1925
Crown Lane Car Park,Bromley,51.389075,0.041009,1926
Dunbar Avenue Car Park,Bromley,51.398289,-0.042339,1927
Fairfield Road Car Park,Bromley,51.406365,-0.027231,1928
The Hill Car Park,Bromley,51.406521,0.010498,1929
Homefield Rise Car Park,Bromley,51.375313,0.1013,1930
Hornbrook House Car Park,Bromley,51.416569,0.068988,1931
Lebanon Gardens Car Park,Bromley,51.311097,0.03444,1932
Memorial Hall Car Park,Bromley,51.390402,0.073298,1933
Palace Grove Car Park,Bromley,51.407372,0.018911,1934
Penge East Car Park,Bromley,51.419415,-0.055113,1935
Queensway Car Park,Bromley,51.389999,0.071964,1936
Ravenswood Avenue Car Park,Bromley,51.376636,-0.016211,1937
St Georges Road Car Park,Bromley,51.409851,-0.02296,1938
Sundridge Park Village Car Park,Bromley,51.413418,0.022628,1939
Village Way Car Park,Bromley,51.40567,-0.029884,1940
West Wickham High Street Car Park,Bromley,51.376035,-0.019341,1941
Dolphin Street,Kingston Upon Thames,51.41204,-0.303691,1942
Old London Road,Kingston Upon Thames,51.410786,-0.298626,1943
Weston Park,Kingston Upon Thames,51.410471,-0.301194,1944
St James Road,Kingston Upon Thames,51.407803,-0.304757,1945
Basinghall Street,City of London,51.516565,-0.091409,1946
Finsbury Circus Gardens,City of London,51.517647,-0.085156,1947
Finsbury Circus,City of London,51.518244,-0.086093,1948
Bush Lane,City of London,51.510606,-0.089911,1949
Carmelite Street,City of London,51.512357,-0.106842,1950
College Street,City of London,51.511059,-0.091998,1951
Heneage Lane,City of London,51.514146,-0.079014,1952
Crutched Friars,City of London,51.511474,-0.077565,1953
Dorset Rise,City of London,51.51268,-0.105866,1954
Botolph Lane,City of London,51.510471,-0.08445,1955
Farringdon Street,City of London,51.5145,-0.104481,1956
Farringdon Street,City of London,51.516128,-0.10475,1957
Farringdon Street,City of London,51.516804,-0.104865,1958
Great Tower Street,City of London,51.509885,-0.081155,1959
Fetter Lane,City of London,51.517391,-0.109051,1960
Gresham Street,City of London,51.515982,-0.095671,1961
Frederick's Place,City of London,51.514162,-0.091231,1962
Godliman Street,City of London,51.51226,-0.09908,1963
Golden Lane,City of London,51.522128,-0.094569,1964
Gravel Lane,City of London,51.515295,-0.076512,1965
Gutter Lane,City of London,51.515335,-0.095389,1966
Hammett Street,City of London,51.510508,-0.07546,1967
Tudor Street,City of London,51.512573,-0.106553,1968
Dorset Rise,City of London,51.51306,-0.105911,1969
Lloyd's Avenue,City of London,51.511862,-0.077654,1970
Mincing Lane,City of London,51.511105,-0.081437,1971
